"Date","Price","Open","High","Low","Vol.","Change %"
"11/15/2024","2,574.90","2,571.75","2,580.60","2,558.95","","0.08%"
"11/14/2024","2,572.90","2,578.10","2,585.80","2,541.50","266.16K","-0.53%"
"11/13/2024","2,586.50","2,604.70","2,625.00","2,578.10","262.75K","-0.76%"
"11/12/2024","2,606.30","2,625.70","2,633.40","2,595.70","282.77K","-0.44%"
"11/11/2024","2,617.70","2,692.10","2,693.40","2,617.10","281.92K","-2.86%"
"11/08/2024","2,694.80","2,713.60","2,717.80","2,687.30","233.11K","-0.41%"
"11/07/2024","2,705.80","2,667.70","2,718.30","2,650.30","292.92K","1.10%"
"11/06/2024","2,676.30","2,752.60","2,758.80","2,660.70","361.31K","-2.67%"
"11/05/2024","2,749.70","2,746.00","2,759.50","2,733.40","151.43K","0.13%"
"11/04/2024","2,746.20","2,743.50","2,757.50","2,739.40","145.25K","-0.11%"
"11/01/2024","2,749.20","2,754.00","2,772.40","2,742.60","180.66K","0.00%"
"10/31/2024","2,749.30","2,799.10","2,801.20","2,741.80","242.57K","-1.84%"
"10/30/2024","2,800.80","2,786.90","2,801.80","2,782.40","191.55K","1.16%"
"10/29/2024","2,768.80","2,741.90","2,773.20","2,741.90","0.85K","0.92%"
"10/28/2024","2,743.60","2,739.40","2,745.60","2,725.80","0.57K","0.05%"
"10/25/2024","2,742.20","2,735.40","2,747.20","2,716.90","0.26K","0.21%"
"10/24/2024","2,736.50","2,717.40","2,743.30","2,717.40","0.34K","0.71%"
"10/23/2024","2,717.10","2,748.90","2,758.50","2,709.90","0.65K","-1.10%"
"10/22/2024","2,747.40","2,723.10","2,749.50","2,721.80","0.43K","0.76%"
"10/21/2024","2,726.80","2,724.30","2,742.60","2,716.90","0.41K","0.32%"
"10/18/2024","2,718.00","2,696.20","2,725.60","2,696.20","0.22K","0.83%"
"10/17/2024","2,695.50","2,676.90","2,700.50","2,676.90","0.27K","0.60%"
"10/16/2024","2,679.30","2,666.80","2,689.50","2,666.00","0.38K","0.46%"
"10/15/2024","2,667.00","2,654.60","2,673.80","2,643.10","0.24K","0.50%"
"10/14/2024","2,653.70","2,659.90","2,671.30","2,648.40","0.39K","-0.40%"